category,city,mean,min,max,median
alloy-steel-scrap,"3rd Kumbharwada Lane, Mumbai ",400.0,400.0,400.0,400.0
alloy-steel-scrap,Ahmedabad ,158.0,158.0,158.0,158.0
alloy-steel-scrap,"BLB, Faridabad ",162.0,162.0,162.0,162.0
alloy-steel-scrap,"Belurmath, Howrah ",33.0,33.0,33.0,33.0
alloy-steel-scrap,Bengaluru ,60.0,60.0,60.0,60.0
alloy-steel-scrap,Chandigarh ,55.0,55.0,55.0,55.0
alloy-steel-scrap,Chennai ,40.0,40.0,40.0,40.0
alloy-steel-scrap,Coimbatore ,50.0,50.0,50.0,50.0
alloy-steel-scrap,"College Street Bata, Kolkata ",250.0,250.0,250.0,250.0
alloy-steel-scrap,"GIDC Kabilpore, Navsari ",136.0,136.0,136.0,136.0
alloy-steel-scrap,"GIDC Naroda, Ahmedabad ",55.0,55.0,55.0,55.0
alloy-steel-scrap,"Girgaon, Mumbai ",80.0,80.0,80.0,80.0
alloy-steel-scrap,"Gondal, Dist. Rajkot ",65.0,65.0,65.0,65.0
alloy-steel-scrap,"Grant Road, Mumbai ",48.0,48.0,48.0,48.0
alloy-steel-scrap,Howrah ,160.0,160.0,160.0,160.0
alloy-steel-scrap,"Kumbharwada, Bhavnagar ",45.0,45.0,45.0,45.0
alloy-steel-scrap,"Kumbharwada, Mumbai ",75.0,75.0,75.0,75.0
alloy-steel-scrap,New Delhi ,500.0,500.0,500.0,500.0
alloy-steel-scrap,Rajkot ,180.0,180.0,180.0,180.0
alloy-steel-scrap,Sangrur ,50.0,50.0,50.0,50.0
alloy-steel-scrap,"Shakespeare Sarani, Kolkata ",110.0,110.0,110.0,110.0
alloy-steel-scrap,"Sohna, Dist. Gurugram ",170.0,170.0,170.0,170.0
alloy-steel-scrap,"Subhash Nagar, Ludhiana ",25.0,25.0,25.0,25.0
alloy-steel-scrap,"Vasai, Dist. Thane ",170.0,170.0,170.0,170.0
aluminium-coil-scraps,Ahmedabad ,38.0,38.0,38.0,38.0
aluminium-coil-scraps,"Byculla, Mumbai ",165.0,165.0,165.0,165.0
aluminium-coil-scraps,"Chaukiya, Ghazipur ",26.0,26.0,26.0,26.0
aluminium-coil-scraps,"Dhela Basti, Kashipur, Dist. Udham Singh Nagar ",105.0,105.0,105.0,105.0
aluminium-coil-scraps,"Kuchera, Nagaur ",120.0,120.0,120.0,120.0
