name,price,url,category,city,metric
Green Grinded PET Bottle Scrap,₹42/ kg,https://www.indiamart.com/proddetail/pet-bottle-scrap-20000068355.html,pet-bottle-flake,"Tardeo, Mumbai ",kg
"Natural Wankai Bottle Grade Pet Chips, Packaging Type: Bags",₹90/ kg,https://www.indiamart.com/proddetail/wankai-bottle-grade-pet-chips-22759857273.html,pet-bottle-flake,"Srinagar Colony, Hyderabad ",kg
"White Pet Bottle Flakes, Packaging Type: PP Bag, Packaging Size: 50 kg",₹75/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-23243244073.html,pet-bottle-flake,Jaipur ,kg
Hot Washed PET Flakes,₹49/ kg,https://www.indiamart.com/proddetail/hot-washed-pet-flakes-23782673662.html,pet-bottle-flake,"Elumathur, Erode ",kg
Natural Hot Washed PET Bottle Flake,₹60/ kg,https://www.indiamart.com/proddetail/pet-bottle-flake-23633018497.html,pet-bottle-flake,"Odhav, Ahmedabad ",kg
Milky White PET Bottle Flakes Scrap,₹55/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-scrap-21100751291.html,pet-bottle-flake,Thane ,kg
Natural Pet Flakes,₹64/ kg,https://www.indiamart.com/proddetail/pet-flakes-27095474830.html,pet-bottle-flake,"Ghatkopar West, Mumbai ",kg
Natural Hot Washed PET Bottle Flake,₹62/ kg,https://www.indiamart.com/proddetail/pet-bottle-flake-2852052297391.html,pet-bottle-flake,New Delhi ,kg
"White Pet Bottle Flakes, Packaging Type: PP Bag, Packaging Size: 450-500 kg",₹70/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-22691936648.html,pet-bottle-flake,"Dokmardi, Silvassa, Dist. Dadra and Nagar Haveli and Daman and Diu ",kg
"Clear Hot Washed PET Flakes, Packaging Type: PP Bag, Pack Size: 30 Kg",₹65/ kg,https://www.indiamart.com/proddetail/hot-washed-pet-flakes-13286012562.html,pet-bottle-flake,Thane ,kg
"Airson White Pet Preform Granules, For Industrial, Packaging Type: Bag",₹85/ kg,https://www.indiamart.com/proddetail/pet-preform-granules-24594474148.html,pet-bottle-flake,Morbi ,kg
Hot Washed PET Bottle Flake,₹110/ kg,https://www.indiamart.com/proddetail/pet-bottle-flake-24733882288.html,pet-bottle-flake,"Bhubaneswar, Dist. Khordha ",kg
Natural Pet fine,₹30/ kg,https://www.indiamart.com/proddetail/pet-fine-24253671233.html,pet-bottle-flake,Indore ,kg
Flake PET Granules,₹80/ kg,https://www.indiamart.com/proddetail/flake-pet-granules-20988380888.html,pet-bottle-flake,"EPIP, Baddi, Dist. Solan ",kg
Natural Hot Washed Pet Bottle Flakes,₹60/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-2851767887855.html,pet-bottle-flake,"Hingna Road, Wanadongri RIDC, Nagpur ",kg
"WHITE, GREEN Recycled Pet Flake",₹70/ kg,https://www.indiamart.com/proddetail/recycled-pet-flake-2850596036030.html,pet-bottle-flake,Morbi ,kg
"Potassium Humate super shiny flakes, 25KG AND 20KG",₹40/ kg,https://www.indiamart.com/proddetail/potassium-humate-super-shiny-flakes-9456047673.html,pet-bottle-flake,"Panvel, Raigad ",kg
Pet Bottle Flakes,₹65/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-25606881462.html,pet-bottle-flake,"Hariyawala, Kashipur, Dist. Udham Singh Nagar ",kg
White Hot Washed Clear PET Flakes,₹54/ kg,https://www.indiamart.com/proddetail/clear-pet-flakes-2851833980891.html,pet-bottle-flake,"Bhuj, Dist. Kachchh ",kg
White Pet Bottle Flakes,₹57/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-2851303200573.html,pet-bottle-flake,"Alangudi, Dist. Pudukkottai ",kg
White Hot Washed Recycled PET Bottle Flakes,₹160/ kg,https://www.indiamart.com/proddetail/recycled-pet-bottle-flakes-2851566332091.html,pet-bottle-flake,Mumbai ,kg
Hot Washed 500gm Green PET Bottle Flake,₹57/ kg,https://www.indiamart.com/proddetail/500gm-green-pet-bottle-flake-2850424137833.html,pet-bottle-flake,Morbi ,kg
Green PET Flakes Scrap,₹70/ kg,https://www.indiamart.com/proddetail/green-pet-flakes-scrap-13367078733.html,pet-bottle-flake,Surat ,kg
Multicolor Unwashed Transparent PET Bottles Flakes,₹55/ kg,https://www.indiamart.com/proddetail/transparent-pet-bottles-flakes-2851358578373.html,pet-bottle-flake,Mumbai ,kg
White Cold Washed PET Flake,₹22/ kg,https://www.indiamart.com/proddetail/white-cold-washed-pet-flake-21458619762.html,pet-bottle-flake,"Ambur, Dist. Vellore ",kg
Green Unwashed PET Bottle Flakes,₹45/ kg,https://www.indiamart.com/proddetail/green-unwashed-pet-bottle-flakes-2851802177312.html,pet-bottle-flake,"Veerappampalayam, Erode ",kg
White Crushed Ped bottal falack,₹61/ kg,https://www.indiamart.com/proddetail/ped-bottal-falack-2852080557333.html,pet-bottle-flake,Jaipur ,kg
Pet Bottle Powder,₹55/ kg,https://www.indiamart.com/proddetail/pet-bottle-powder-2851091023630.html,pet-bottle-flake,"Kalol, Dist. Gandhi Nagar ",kg
Unwashed White milky pet,₹42/ kg,https://www.indiamart.com/proddetail/white-milky-pet-2850955133630.html,pet-bottle-flake,Ahmedabad ,kg
"Gpps Plastic Granding, Blade Size: 10mm",₹100/ kg,https://www.indiamart.com/proddetail/gpps-plastic-granding-23387632333.html,pet-bottle-flake,"Ramol, Mehsana ",kg
Hot Washed White Pet Flakes,₹64/ kg,https://www.indiamart.com/proddetail/white-pet-flakes-2852417741548.html,pet-bottle-flake,Sonipat ,kg
Natural Cold Washed Pet Bottle Flakes,₹51/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-2851942829555.html,pet-bottle-flake,Chennai ,kg
Cold Washed White PET Bottle Flake,₹65/ kg,https://www.indiamart.com/proddetail/white-pet-bottle-flake-2852421244873.html,pet-bottle-flake,Nalgonda ,kg
Natural Pet flakes,₹64/ kg,https://www.indiamart.com/proddetail/pet-flakes-2850921753755.html,pet-bottle-flake,"Jayapuram, Tindivanam, Dist. Villupuram ",kg
Natural Pet Flakes,₹53/ kg,https://www.indiamart.com/proddetail/natural-pet-flakes-26071315912.html,pet-bottle-flake,"Poonamallee, Chennai ",kg
Milky White Cold Washed Plastic Bottle Pet Flake,₹40/ kg,https://www.indiamart.com/proddetail/plastic-bottle-pet-flake-25386069448.html,pet-bottle-flake,"Panvel, Raigad ",kg
"Polyester Flakes For Industrial, Packaging Type: Plastic Bag",₹17/ kg,https://www.indiamart.com/proddetail/polyester-flakes-23221009112.html,pet-bottle-flake,Indore ,kg
"White Grinded PET Flake, Packaging Type: Plastic Bag, Packaging Size: 25 Kg",₹57/ kg,https://www.indiamart.com/proddetail/grinded-pet-flake-23301557155.html,pet-bottle-flake,"Gondal, Dist. Rajkot ",kg
"Hot Washed PET Bottle Flakes, For Used On Compression Molding",₹59/ kg,https://www.indiamart.com/proddetail/hot-washed-pet-bottle-flakes-24257046388.html,pet-bottle-flake,"Songadh, Dist. Tapi ",kg
