category,city,mean,min,max,median
pet-bottle-flake,Ahmedabad ,42.0,42.0,42.0,42.0
pet-bottle-flake,"Alangudi, Dist. Pudukkottai ",58.0,57.0,59.0,58.0
pet-bottle-flake,Bhopal ,52.0,52.0,52.0,52.0
pet-bottle-flake,"Bhuj, Dist. Kachchh ",54.0,54.0,54.0,54.0
pet-bottle-flake,Chennai ,51.0,51.0,51.0,51.0
pet-bottle-flake,"Daultabad, Gurgaon, Dist. Gurugram ",55.0,55.0,55.0,55.0
pet-bottle-flake,"Dokmardi, Silvassa, Dist. Dadra and Nagar Haveli and Daman and Diu ",70.0,70.0,70.0,70.0
pet-bottle-flake,"EPIP, Baddi, Dist. Solan ",80.0,80.0,80.0,80.0
pet-bottle-flake,"Elumathur, Erode ",49.0,49.0,49.0,49.0
pet-bottle-flake,"Ghatkopar West, Mumbai ",64.0,64.0,64.0,64.0
pet-bottle-flake,"Gondal, Dist. Rajkot ",60.5,57.0,64.0,60.5
pet-bottle-flake,"Hariyawala, Kashipur, Dist. Udham Singh Nagar ",65.0,65.0,65.0,65.0
pet-bottle-flake,"Hingna Road, Wanadongri RIDC, Nagpur ",60.0,60.0,60.0,60.0
pet-bottle-flake,Jaipur ,67.5,60.0,75.0,67.5
pet-bottle-flake,"Jayapuram, Tindivanam, Dist. Villupuram ",64.0,64.0,64.0,64.0
pet-bottle-flake,"Kalol, Dist. Gandhi Nagar ",55.0,55.0,55.0,55.0
pet-bottle-flake,Kolkata ,52.0,52.0,52.0,52.0
pet-bottle-flake,Mehsana ,60.0,60.0,60.0,60.0
pet-bottle-flake,Morbi ,62.666666666666664,56.0,70.0,62.0
pet-bottle-flake,Mumbai ,62.0,62.0,62.0,62.0
pet-bottle-flake,Nalgonda ,65.0,65.0,65.0,65.0
pet-bottle-flake,New Delhi ,62.0,62.0,62.0,62.0
pet-bottle-flake,"Odhav, Ahmedabad ",60.0,60.0,60.0,60.0
pet-bottle-flake,"Poonamallee, Chennai ",53.0,53.0,53.0,53.0
pet-bottle-flake,Sagar ,45.0,45.0,45.0,45.0
pet-bottle-flake,Shahjahanpur ,57.0,57.0,57.0,57.0
pet-bottle-flake,"Songadh, Dist. Tapi ",59.0,59.0,59.0,59.0
pet-bottle-flake,Sonipat ,64.0,64.0,64.0,64.0
pet-bottle-flake,Surat ,70.0,70.0,70.0,70.0
pet-bottle-flake,"Tardeo, Mumbai ",44.0,44.0,44.0,44.0
pet-bottle-flake,Thane ,58.5,55.0,62.0,58.5
pet-bottle-flake,"Veerappampalayam, Erode ",45.0,45.0,45.0,45.0
pet-bottle-flake,Virudhunagar ,54.0,54.0,54.0,54.0
