Unnamed: 0,name,price,url,category,metric
2333,Grinded Mixed PP Plastic Chair Scrap,₹90/ kg,https://www.indiamart.com/proddetail/mixed-pp-plastic-chair-scrap-25832009488.html,pp-scrap,kg
2341,White Grinded PP Scrap,₹45/ kg,https://www.indiamart.com/proddetail/pp-scrap-23817413248.html,pp-scrap,kg
2345,Cotton seed Scrap Churi,"₹25,000/ tonne",https://www.indiamart.com/shree-tirupathi-balaji/,pp-scrap,tonne
2346,Red Chair Grinding Scrap,₹50/ tonne,https://www.indiamart.com/proddetail/chair-grinding-scrap-22557470597.html,pp-scrap,tonne
2350,Black Grinded PP Glass Scrap,₹38/ kg,https://www.indiamart.com/proddetail/pp-glass-scrap-2850661327791.html,pp-scrap,kg
2351,Loosely Packed White PP Scrap,₹17/ kg,https://www.indiamart.com/proddetail/white-pp-scrap-2850593314662.html,pp-scrap,kg
2354,Pp Scrap,₹40/ kg,https://www.indiamart.com/krishna-plastic-gurugram/,pp-scrap,kg
2355,Pp Scrap,₹23/ kg,https://www.indiamart.com/proddetail/pp-scrap-19699884748.html,pp-scrap,kg
2358,Baled Natural Polypropylene Scrap,₹95/ kg,https://www.indiamart.com/proddetail/natural-polypropylene-scrap-23791063273.html,pp-scrap,kg
2359,Blue Grinded PP Scrap,₹50/ kg,https://www.indiamart.com/proddetail/pp-scrap-23759150991.html,pp-scrap,kg
2360,Crushed Mixed PP Scrap,₹33/ kg,https://www.indiamart.com/proddetail/mixed-pp-scrap-2851266147730.html,pp-scrap,kg
2361,Mixed Crushed PP Chair Scrap,₹38/ kg,https://www.indiamart.com/proddetail/pp-chair-scrap-2851787094412.html,pp-scrap,kg
2362,Pp Scrap,₹82/ kg,https://www.indiamart.com/company/79111341/,pp-scrap,kg
2364,Pp Scrap,"₹1,000/ kg",https://www.indiamart.com/company/161314326/,pp-scrap,kg
2370,Car Bumper Grinding Scrap,₹50/ kg,https://www.indiamart.com/gupta-plastic-industry/,pp-scrap,kg
2372,Grinded Chair Scrap,₹37/ kg,https://www.indiamart.com/proddetail/grinded-chair-scrap-15363941362.html,pp-scrap,kg
2386,"White Crushed PP Milky Scrap, Artical",₹85/ kg,https://www.indiamart.com/proddetail/pp-milky-scrap-23615811373.html,pp-scrap,kg
2388,White Loosely Packed Pp Woven Bag Scrap,₹17/ kg,https://www.indiamart.com/proddetail/pp-woven-bag-scrap-2849144455112.html,pp-scrap,kg
2391,Maroon Grinded PP Red Granules Scrap,₹80/ kg,https://www.indiamart.com/proddetail/pp-red-granules-scrap-26748207055.html,pp-scrap,kg
2392,Pp grinding scrap,₹55/ kg,https://www.indiamart.com/proddetail/pp-grinding-scrap-22805049655.html,pp-scrap,kg
2395,PP CP Scrap,₹100/ kg,https://www.indiamart.com/b-k-engineering-works-modinagar/,pp-scrap,kg
2397,White Crushed Ppcp Natural Scrap,₹90/ kg,https://www.indiamart.com/proddetail/ppcp-natural-scrap-23829122388.html,pp-scrap,kg
2398,Multicolor Loosely Packed PP Tube Scrap,₹38/ kg,https://www.indiamart.com/proddetail/pp-tube-scrap-2852081477455.html,pp-scrap,kg
2406,Natural PP granulated washed scrap plastic,₹35/ kg,https://www.indiamart.com/scrapometer/,pp-scrap,kg
2423,Natural PP Waste,₹46/ kg,https://www.indiamart.com/plastic-recycling-chilakalurupet/,pp-scrap,kg
2425,Pp Scrap,₹65/ kg,https://www.indiamart.com/company/160762516/,pp-scrap,kg
2432,White Pp scrap,₹45/ tonne,https://www.indiamart.com/msenterprises-89285121/,pp-scrap,tonne
2444,Crushed White Polypropylene Scrap,₹52/ kg,https://www.indiamart.com/proddetail/white-polypropylene-scrap-2849179656030.html,pp-scrap,kg
2447,Pp Scrap,₹45/ kg,https://www.indiamart.com/metakshi-polymers/,pp-scrap,kg
2448,PP Recycling Textile Scrap,₹77/ kg,https://www.indiamart.com/shiva-sai-polymers/,pp-scrap,kg
2449,MIX COLOUR PET GRINDIND,₹40/ kg,https://www.indiamart.com/anash-plastic-hyderabad/,pp-scrap,kg
2453,Pp Jumbo Scrap Used,₹30/ kg,https://www.indiamart.com/sri-rama-constructions-hyderabad/,pp-scrap,kg
2454,Pp Non Woven Scrap,₹34/ kg,https://www.indiamart.com/shree-vijaya-venkatalaxmi-enterprises/,pp-scrap,kg
2456,Green Pet Strap Scrap,₹40/ kg,https://www.indiamart.com/proddetail/pet-strap-scrap-2852170307797.html,pp-scrap,kg
2457,Mixed Colour Pp Grinding,₹31/ kg,https://www.indiamart.com/proddetail/colour-pp-grinding-27095005455.html,pp-scrap,kg
2458,PP Mix Regrind,₹50/ kg,https://www.indiamart.com/proddetail/pp-mix-regrind-20567606630.html,pp-scrap,kg
2462,White pp scrap,₹45/ kg,https://www.indiamart.com/ramesh-scrap-dealers/,pp-scrap,kg
2470,White Crushed PP Natural Scrap,₹75/ kg,https://www.indiamart.com/proddetail/pp-natural-scrap-16749798962.html,pp-scrap,kg
2477,Crushed Black PP Scrap,₹20/ kg,https://www.indiamart.com/proddetail/black-pp-scrap-23683196512.html,pp-scrap,kg
2478,Quality Recycled HDPE Blue Drum Plastic Scraps for Industrial,"₹6,000/ tonne",https://www.indiamart.com/proddetail/quality-recycled-hdpe-blue-drum-plastic-scraps-21537627897.html,pp-scrap,tonne
2505,Natural Rolled Bopp Film Roll Scrap,₹50/ kg,https://www.indiamart.com/proddetail/bopp-film-roll-scrap-22567279830.html,pp-scrap,kg
2507,PP Plastic Scraps,₹45/ kg,https://www.indiamart.com/godara-plastic-udyog/,pp-scrap,kg
2509,Grinded PP Red Grinding Scrap,₹78/ kg,https://www.indiamart.com/proddetail/pp-red-grinding-scrap-2851099139112.html,pp-scrap,kg
2510,PP Scrap,"₹18,000/ tonne",https://www.indiamart.com/saarwati-traders/,pp-scrap,tonne
2522,PP Scrap,₹55/ kg,https://www.indiamart.com/rana-trading-company-aligarh/,pp-scrap,kg
2526,Black Grinded Pp Woven Bag Scrap,₹74/ kg,https://www.indiamart.com/proddetail/pp-woven-bag-scrap-2851236213048.html,pp-scrap,kg
2527,Mixed Color Baled PP Scrap,₹20/ kg,https://www.indiamart.com/proddetail/pp-scrap-21911866488.html,pp-scrap,kg
2528,Mlp Scrap,₹10/ kg,https://www.indiamart.com/proddetail/mlp-scrap-2849829442891.html,pp-scrap,kg
2529,White Loosely Packed PP Plastic Scraps,₹60/ kg,https://www.indiamart.com/proddetail/pp-plastic-scraps-2851060614397.html,pp-scrap,kg
