name,price,url,category,city
"Hot Washed PET Flakes, Pack Size: 25 Kg",₹45/ Kilogram,https://www.indiamart.com/proddetail/hot-washed-pet-flakes-19991055712.html,pet-bottle-flake,"Tardeo, Mumbai "
"Natural Wankai Bottle Grade Pet Chips, Packaging Type: Bags",₹90/ Kg,https://www.indiamart.com/proddetail/wankai-bottle-grade-pet-chips-22759857273.html,pet-bottle-flake,"Srinagar Colony, Hyderabad "
Natural Hot Washed Pet Fines,₹60/ Kg,https://www.indiamart.com/proddetail/pet-fines-2851891871573.html,pet-bottle-flake,Jaipur 
Hot Washed PET Flakes,₹49/ Kg,https://www.indiamart.com/proddetail/hot-washed-pet-flakes-23782673662.html,pet-bottle-flake,"Elumathur, Erode "
Natural Hot Washed PET Bottle Flake,₹60/ Kg,https://www.indiamart.com/proddetail/pet-bottle-flake-23633018497.html,pet-bottle-flake,"Odhav, Ahmedabad "
Natural Pet Flakes,₹64/ Kg,https://www.indiamart.com/proddetail/pet-flakes-27095474830.html,pet-bottle-flake,"Ghatkopar West, Mumbai "
Natural Hot Washed PET Bottle Flake,₹62/ Kg,https://www.indiamart.com/proddetail/pet-bottle-flake-2852052297391.html,pet-bottle-flake,New Delhi 
Milky White PET Bottle Flakes Scrap,₹55/ Kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-scrap-21100751291.html,pet-bottle-flake,Thane 
"White Pet Bottle Flakes, Packaging Type: PP Bag, Packaging Size: 450-500 kg",₹70/ Kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-22691936648.html,pet-bottle-flake,"Dokmardi, Silvassa, Dist. Dadra and Nagar Haveli and Daman and Diu "
"Airson White Pet Dana, For Industrial, Packaging Type: Bag",₹75/ Kg,https://www.indiamart.com/proddetail/white-pet-dana-24594475391.html,pet-bottle-flake,Morbi 
"Clear Hot Washed PET Flakes, Packaging Type: PP Bag, Pack Size: 30 Kg",₹65/ Kilogram,https://www.indiamart.com/proddetail/hot-washed-pet-flakes-13286012562.html,pet-bottle-flake,Thane 
Flake PET Granules,₹80/ Kilogram,https://www.indiamart.com/proddetail/flake-pet-granules-20988380888.html,pet-bottle-flake,"EPIP, Baddi, Dist. Solan "
Hot Washed PET Bottle Flake,₹110/ Kg,https://www.indiamart.com/proddetail/pet-bottle-flake-24733882288.html,pet-bottle-flake,"Bhubaneswar, Dist. Khordha "
Natural Hot Washed Pet Flakes,₹50/ Kg,https://www.indiamart.com/proddetail/pet-flakes-24825024633.html,pet-bottle-flake,Indore 
Natural Hot Washed Pet Bottle Flakes,₹60/ Kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-2851767887855.html,pet-bottle-flake,"Hingna Road, Wanadongri RIDC, Nagpur "
