category,city,mean,min,max,median
ferrous-metal-scrap,Bengaluru ,60.0,60.0,60.0,60.0
ferrous-metal-scrap,"Bhangar Mohalla, New Delhi ",38.0,38.0,38.0,38.0
ferrous-metal-scrap,Coimbatore ,45.0,45.0,45.0,45.0
ferrous-metal-scrap,"FAZALGANJ, Kanpur, Dist. Kanpur Nagar ",35.0,35.0,35.0,35.0
ferrous-metal-scrap,"Jaygaon, Dist. Alipurduar ",40.0,40.0,40.0,40.0
ferrous-metal-scrap,"Kumbharwada, Bhavnagar ",42.0,42.0,42.0,42.0
ferrous-metal-scrap,Lakhisarai ,40.0,40.0,40.0,40.0
ferrous-metal-scrap,"Mumbai Suburban, Mumbai ",45.0,45.0,45.0,45.0
ferrous-metal-scrap,"Neyveli, Dist. Cuddalore ",40.0,40.0,40.0,40.0
ferrous-metal-scrap,Pune ,40.0,40.0,40.0,40.0
ferrous-metal-scrap,"Rajaji Nagar, Bengaluru ",35.0,35.0,35.0,35.0
ferrous-metal-scrap,Saiha ,35.0,35.0,35.0,35.0
ferrous-metal-scrap,"Sihor, Dist. Bhavnagar ",38.0,38.0,38.0,38.0
ferrous-metal-scrap,Thane ,37.0,37.0,37.0,37.0
ferrous-metal-scrap,"Vijayanagar, Bengaluru ",36.0,36.0,36.0,36.0
ferrous-metal-scrap,"kesharbagh, Lucknow ",35.0,35.0,35.0,35.0
pet-bottle-flake,"21/5, Ulundurpet, Dist. Villupuram ",45.0,45.0,45.0,45.0
pet-bottle-flake,"321023, Kaman, Dist. Bharatpur ",52.0,52.0,52.0,52.0
pet-bottle-flake,"66/67, Dhiraj Industrial, Surat ",35.0,35.0,35.0,35.0
pet-bottle-flake,"Agripada, Mumbai ",56.0,56.0,56.0,56.0
pet-bottle-flake,Ahmedabad ,53.6,38.0,65.0,54.0
pet-bottle-flake,Ajmer ,53.0,53.0,53.0,53.0
pet-bottle-flake,"Alangudi, Dist. Pudukkottai ",61.0,57.0,65.0,61.0
pet-bottle-flake,Aligarh ,55.0,55.0,55.0,55.0
pet-bottle-flake,"Alok Park, Ghaziabad ",50.0,50.0,50.0,50.0
