name,price,url,category,city,metric
"Hot Washed PET Flakes, Pack Size: 25 Kg",₹45/ kg,https://www.indiamart.com/proddetail/hot-washed-pet-flakes-19991055712.html,pet-bottle-flake,"Tardeo, Mumbai ",kg
"Natural Wankai Bottle Grade Pet Chips, Packaging Type: Bags",₹90/ kg,https://www.indiamart.com/proddetail/wankai-bottle-grade-pet-chips-22759857273.html,pet-bottle-flake,"Srinagar Colony, Hyderabad ",kg
Natural Hot Washed Pet Fines,₹60/ kg,https://www.indiamart.com/proddetail/pet-fines-2851891871573.html,pet-bottle-flake,Jaipur ,kg
Hot Washed PET Flakes,₹49/ kg,https://www.indiamart.com/proddetail/hot-washed-pet-flakes-23782673662.html,pet-bottle-flake,"Elumathur, Erode ",kg
Natural Hot Washed PET Bottle Flake,₹60/ kg,https://www.indiamart.com/proddetail/pet-bottle-flake-23633018497.html,pet-bottle-flake,"Odhav, Ahmedabad ",kg
Natural Pet Flakes,₹64/ kg,https://www.indiamart.com/proddetail/pet-flakes-27095474830.html,pet-bottle-flake,"Ghatkopar West, Mumbai ",kg
Natural Hot Washed PET Bottle Flake,₹62/ kg,https://www.indiamart.com/proddetail/pet-bottle-flake-2852052297391.html,pet-bottle-flake,New Delhi ,kg
Milky White PET Bottle Flakes Scrap,₹55/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-scrap-21100751291.html,pet-bottle-flake,Thane ,kg
"White Pet Bottle Flakes, Packaging Type: PP Bag, Packaging Size: 450-500 kg",₹70/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-22691936648.html,pet-bottle-flake,"Dokmardi, Silvassa, Dist. Dadra and Nagar Haveli and Daman and Diu ",kg
"Airson White Pet Dana, For Industrial, Packaging Type: Bag",₹75/ kg,https://www.indiamart.com/proddetail/white-pet-dana-24594475391.html,pet-bottle-flake,Morbi ,kg
"Clear Hot Washed PET Flakes, Packaging Type: PP Bag, Pack Size: 30 Kg",₹65/ kg,https://www.indiamart.com/proddetail/hot-washed-pet-flakes-13286012562.html,pet-bottle-flake,Thane ,kg
Flake PET Granules,₹80/ kg,https://www.indiamart.com/proddetail/flake-pet-granules-20988380888.html,pet-bottle-flake,"EPIP, Baddi, Dist. Solan ",kg
Hot Washed PET Bottle Flake,₹110/ kg,https://www.indiamart.com/proddetail/pet-bottle-flake-24733882288.html,pet-bottle-flake,"Bhubaneswar, Dist. Khordha ",kg
Natural Hot Washed Pet Flakes,₹50/ kg,https://www.indiamart.com/proddetail/pet-flakes-24825024633.html,pet-bottle-flake,Indore ,kg
Natural Hot Washed Pet Bottle Flakes,₹60/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-2851767887855.html,pet-bottle-flake,"Hingna Road, Wanadongri RIDC, Nagpur ",kg
"Potassium Humate super shiny flakes, 25KG AND 20KG",₹40/ kg,https://www.indiamart.com/proddetail/potassium-humate-super-shiny-flakes-9456047673.html,pet-bottle-flake,"Panvel, Raigad ",kg
"WHITE, GREEN Recycled Pet Flake",₹70/ kg,https://www.indiamart.com/proddetail/recycled-pet-flake-2850596036030.html,pet-bottle-flake,Morbi ,kg
White Pet Bottle Flakes,₹57/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-2851303200573.html,pet-bottle-flake,"Alangudi, Dist. Pudukkottai ",kg
Grey Loosely Packed Ped Bottle Flakes Scrap,₹45/ kg,https://www.indiamart.com/proddetail/ped-bottle-flakes-scrap-2852080556912.html,pet-bottle-flake,Jaipur ,kg
White PET Flakes Scrap,₹70/ kg,https://www.indiamart.com/proddetail/white-pet-flakes-scrap-13367078633.html,pet-bottle-flake,Surat ,kg
White Hot Washed Recycled PET Bottle Flakes,₹160/ kg,https://www.indiamart.com/proddetail/recycled-pet-bottle-flakes-2851566332091.html,pet-bottle-flake,Mumbai ,kg
Pet Bottle Flakes,₹65/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-25606881462.html,pet-bottle-flake,"Hariyawala, Kashipur, Dist. Udham Singh Nagar ",kg
Cold Washed Milky White PET Bottle Flakes,₹62/ kg,https://www.indiamart.com/proddetail/milky-white-pet-bottle-flakes-2851358542088.html,pet-bottle-flake,Mumbai ,kg
Pet Bottle Powder,₹55/ kg,https://www.indiamart.com/proddetail/pet-bottle-powder-2851091023630.html,pet-bottle-flake,"Kalol, Dist. Gandhi Nagar ",kg
Natural White Recycled PET Bottle Flakes,₹56/ kg,https://www.indiamart.com/proddetail/white-recycled-pet-bottle-flakes-2850517449688.html,pet-bottle-flake,Morbi ,kg
Green Unwashed PET Bottle Flake,₹23/ kg,https://www.indiamart.com/proddetail/green-unwashed-pet-bottle-flake-2852090698612.html,pet-bottle-flake,"Ambur, Dist. Vellore ",kg
White Crushed PET Bottle Scrap,₹60/ kg,https://www.indiamart.com/proddetail/crushed-pet-bottle-scrap-2850982485788.html,pet-bottle-flake,Ahmedabad ,kg
Green Unwashed PET Bottle Flakes,₹45/ kg,https://www.indiamart.com/proddetail/green-unwashed-pet-bottle-flakes-2851802177312.html,pet-bottle-flake,"Veerappampalayam, Erode ",kg
White Hot Washed Clear PET Flakes,₹54/ kg,https://www.indiamart.com/proddetail/clear-pet-flakes-2851833980891.html,pet-bottle-flake,"Bhuj, Dist. Kachchh ",kg
"50kg White PET Flake, Packaging Type: PP Bag",₹57/ kg,https://www.indiamart.com/proddetail/50kg-white-pet-flake-21558730748.html,pet-bottle-flake,"Gondal, Dist. Rajkot ",kg
"Gpps Plastic Granding, Blade Size: 10mm",₹100/ kg,https://www.indiamart.com/proddetail/gpps-plastic-granding-23387632333.html,pet-bottle-flake,"Ramol, Mehsana ",kg
Natural Pet flakes,₹64/ kg,https://www.indiamart.com/proddetail/pet-flakes-2850921753755.html,pet-bottle-flake,"Jayapuram, Tindivanam, Dist. Villupuram ",kg
White Hot Washed Recycled Pet Bottle Flakes,₹64/ kg,https://www.indiamart.com/proddetail/recycled-pet-bottle-flakes-2852375738173.html,pet-bottle-flake,Sonipat ,kg
Cold Washed PET Bottle Flakes,₹65/ kg,https://www.indiamart.com/proddetail/cold-washed-pet-bottle-flakes-2852302527262.html,pet-bottle-flake,Nalgonda ,kg
Natural Baled Pet Bottles Scrap,₹32/ kg,https://www.indiamart.com/proddetail/pet-bottles-scrap-23628676073.html,pet-bottle-flake,Indore ,kg
Natural Pet Flakes,₹53/ kg,https://www.indiamart.com/proddetail/natural-pet-flakes-26071315912.html,pet-bottle-flake,"Poonamallee, Chennai ",kg
Milky White Cold Washed Plastic Bottle Pet Flake,₹40/ kg,https://www.indiamart.com/proddetail/plastic-bottle-pet-flake-25386069448.html,pet-bottle-flake,"Panvel, Raigad ",kg
Natural Cold Washed Pet Bottle Flakes,₹51/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-2851942829555.html,pet-bottle-flake,Chennai ,kg
"Brown Hot Washed PET Bottle Flakes, For Used On Compression Molding",₹57/ kg,https://www.indiamart.com/proddetail/brown-hot-washed-pet-bottle-flakes-24257046491.html,pet-bottle-flake,"Songadh, Dist. Tapi ",kg
Milky White Grinded LD Bottel Scrap,₹52/ kg,https://www.indiamart.com/proddetail/ld-bottel-scrap-21658418373.html,pet-bottle-flake,Bhopal ,kg
"White Hot Washed PET Flakes, For Bottle Making, Packaging Size: 50 Kg",₹55/ kg,https://www.indiamart.com/proddetail/hot-washed-pet-flakes-6679838397.html,pet-bottle-flake,Kolkata ,kg
"White PET Plastic Flakes, Packaging Type: Bag, Packaging Size: 1 Tone",₹55/ kg,https://www.indiamart.com/proddetail/pet-plastic-flakes-20541410612.html,pet-bottle-flake,"Daultabad, Gurgaon, Dist. Gurugram ",kg
"White PET FLAKES HOT WASHED, For Industrial, Packaging Type: PP Bag",₹65/ kg,https://www.indiamart.com/proddetail/pet-flakes-hot-washed-2849490441948.html,pet-bottle-flake,"Alangudi, Dist. Pudukkottai ",kg
Natural Hot Washed PET bottle Flakes Scrap,₹64/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-scrap-2850597870191.html,pet-bottle-flake,"Gondal, Dist. Rajkot ",kg
Light Blue Cold Washed Polycarbonate Bottle Flakes,₹112/ kg,https://www.indiamart.com/proddetail/polycarbonate-bottle-flakes-26099724891.html,pet-bottle-flake,Mumbai ,kg
PET Regrind - ( White Multicolor),₹35/ kg,https://www.indiamart.com/proddetail/pet-regrind-white-multicolor-22580702155.html,pet-bottle-flake,Ludhiana ,kg
"White Hot Washed PET Flakes, For Bottle Making",₹57/ kg,https://www.indiamart.com/proddetail/white-hot-washed-pet-flakes-2852147795688.html,pet-bottle-flake,Shahjahanpur ,kg
Natural Cold Washed PET Bottle Flakes,₹54/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-2851082151697.html,pet-bottle-flake,Virudhunagar ,kg
Natural Pet Bottle Flakes,₹60/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-2849731692455.html,pet-bottle-flake,Mehsana ,kg
Natural Pet Bottle Flakes Unwashed,₹45/ kg,https://www.indiamart.com/proddetail/pet-bottle-flakes-unwashed-2852373794030.html,pet-bottle-flake,Sagar ,kg
"White Recycled PET Flakes, For Bottle Making",₹104/ kg,https://www.indiamart.com/proddetail/recycled-pet-flakes-26093059397.html,pet-bottle-flake,Jaipur ,kg
