category,mean,min,max,median
alloy-steel-scrap,92.36309523809524,20.0,400.0,65.0
aluminium-coil-scraps,130.94736842105263,20.0,360.0,125.0
aluminium-dross,101.28125,20.0,345.0,85.0
aluminium-extrusion-scrap,153.1340248333333,20.0,450.0,151.5
aluminium-foil-scrap,110.94392523364486,25.0,450.0,100.0
aluminium-scrap,144.0883495145631,20.0,480.0,141.0
aluminium-wheel-scrap,168.47185384615386,20.0,499.0,165.0
aluminum-bronze-scrap,250.54761904761904,20.0,450.0,230.0
aluminum-casting-scrap,133.02830188679246,21.0,340.0,140.0
aluminum-plates-scrap,136.71648351648352,20.0,499.0,125.0
aluminum-ubc-scrap,116.7145641025641,20.658,300.0,120.0
aluminum-wire-scrap,163.6992427368421,20.0,484.0,170.0
brass-honey-scraps,368.6442307692308,20.0,495.0,382.5
brass-scrap,358.5273631840796,20.0,498.0,380.0
cable-scrap,115.16176470588235,20.0,480.0,58.5
car-scrap,81.36652272727272,20.0,490.0,43.5
carton-scrap,40.9375,20.0,350.0,25.0
cast-iron-scraps,51.27307692307693,19.2,450.0,40.0
computer-scrap,151.64834821428573,20.0,425.0,115.0
copper-cable-scrap,286.8258947368421,34.0,490.0,300.0
copper-nickle-scrap,302.57894736842104,46.0,490.0,380.0
copper-pipe-scrap,322.27777777777777,21.5,480.0,350.0
copper-plate-scrap,258.381125,28.0,480.0,310.0
copper-scrap,320.81168346774194,21.5,485.0,355.0
copper-sheet-scrap,289.3333333333333,25.0,445.0,310.0
copper-wire-scrap,311.63497413978496,40.0,490.0,356.0
corrugated-box-scrap,37.31372549019608,19.5,222.0,25.0
crc-metal-scrap,49.47303664921466,20.0,400.0,40.0
crc-sheet-metal-scrap,57.650375939849624,20.0,390.0,40.0
electric-wire-scrap,160.3942857142857,20.0,480.0,120.0
electrical-scrap,106.13942372881355,20.0,480.0,77.5
electronic-scrap,100.75,20.0,499.0,68.0
ferrous-metal-scrap,124.45918367346938,21.0,485.0,58.0
ferrous-scrap,123.775,20.0,456.0,59.0
gold-scrap,142.66666666666666,100.0,345.0,100.5
hdpe-drum-scrap,74.95238095238095,20.0,299.0,75.0
hdpe-scrap,66.97605633802817,20.0,350.0,65.0
heavy-melting-copper-scrap,351.85714285714283,26.0,480.0,385.0
heavy-metal-scraps,83.21949526717557,20.0,495.0,38.0
high-speed-steel-scraps,181.66666666666666,50.0,360.0,176.0
hms-scrap,49.51169788944724,19.5,400.0,36.0
industrial-scrap,102.59325393700787,20.0,490.0,55.0
iron-scrap,48.32651581508516,20.0,480.0,37.0
kraft-paper-waste,34.75080645161291,20.0,190.0,25.0
laptop-scrap,205.80769230769232,25.0,450.0,190.0
ld-plastic-scrap,63.363829787234046,20.0,300.0,56.0
ldpe-scrap,62.339622641509436,19.5,230.0,62.0
lead-scrap,164.7313725490196,25.0,350.0,170.0
lms-scrap,65.6875,21.0,455.0,40.0
magnesium-scrap,160.8048780487805,20.0,450.0,150.0
metal-scrap,100.31420118343195,20.0,495.0,42.0
mobile-phone-scrap,172.34615384615384,20.0,400.0,155.0
motherboard-scrap,163.40384615384616,20.0,456.0,130.0
motor-scrap,104.05444444444444,20.0,450.0,82.0
ms-melting-scrap,43.79428365384615,20.0,430.0,35.0
ms-pipe-scrap,51.72257731958763,20.0,444.0,40.0
ms-scraps,52.06295620437956,20.0,450.0,40.0
ms-turning-scrap,40.297770700636946,20.0,200.0,36.0
nickel-scrap,190.675,32.0,490.0,100.0
non-ferrous-metal-scraps,141.05733846153848,20.0,490.0,110.0
old-newspapers,43.15,20.0,480.0,33.0
paper-shreddings,110.55474452554745,20.0,499.0,40.0
pcb-scrap,134.5,25.0,300.0,142.5
pet-bottle-flake,55.95732026143791,20.0,450.0,52.0
pet-bottle-scrap,46.01538461538462,20.0,222.0,43.0
pipe-scrap,82.5755294117647,20.0,457.0,52.5
pp-scrap,54.348684210526315,20.0,450.0,48.0
pvc-scrap,59.91216216216216,20.0,470.0,50.0
rail-scrap,52.753815384615386,20.0,420.0,42.0
ram-scrap,171.50388235294116,20.566,400.0,120.0
scrap-batteries,119.57999421965317,25.0,450.0,100.0
silver-scrap,162.12,30.0,480.0,110.0
stainless-steel-scrap,115.41736404833837,20.0,450.0,100.0
stainless-steel-turning-scrap,109.08715753424657,22.0,400.0,90.0
steel-scrap,94.52049180327869,20.0,400.0,60.0
tin-scrap,90.5111111111111,20.0,400.0,60.0
waste-paper,42.77215189873418,19.5,250.0,30.0
waste-plastic,57.40548780487805,20.0,410.0,48.0
zinc-dross,157.14166666666668,22.0,270.0,168.0
